,,Page,PageLine,PageLineImageFile,PageLineTextFile,StartBook,StartChapter,StartVerse
0,,1,1,greek1516_Page_001_Line1.gt.tif,greek1516_Page_001_Line1.gt.txt,Mat,1,1
1,,1,2,greek1516_Page_001_Line2.gt.tif,greek1516_Page_001_Line2.gt.txt,Mat,1,1
2,,1,3,greek1516_Page_001_Line3.gt.tif,greek1516_Page_001_Line3.gt.txt,Mat,1,1
3,,1,4,greek1516_Page_001_Line4.gt.tif,greek1516_Page_001_Line4.gt.txt,Mat,1,1
4,,1,5,greek1516_Page_001_Line5.gt.tif,greek1516_Page_001_Line5.gt.txt,Mat,1,1
5,,1,6,greek1516_Page_001_Line6.gt.tif,greek1516_Page_001_Line6.gt.txt,Mat,1,2
6,,1,7,greek1516_Page_001_Line7.gt.tif,greek1516_Page_001_Line7.gt.txt,Mat,1,2
7,,1,8,greek1516_Page_001_Line8.gt.tif,greek1516_Page_001_Line8.gt.txt,Mat,1,2
8,,1,9,greek1516_Page_001_Line9.gt.tif,greek1516_Page_001_Line9.gt.txt,Mat,1,2
9,,1,10,greek1516_Page_001_Line10.gt.tif,greek1516_Page_001_Line10.gt.txt,Mat,1,3
10,,1,11,greek1516_Page_001_Line11.gt.tif,greek1516_Page_001_Line11.gt.txt,Mat,1,3
11,,1,12,greek1516_Page_001_Line12.gt.tif,greek1516_Page_001_Line12.gt.txt,Mat,1,3
12,,1,13,greek1516_Page_001_Line13.gt.tif,greek1516_Page_001_Line13.gt.txt,Mat,1,4
13,,1,14,greek1516_Page_001_Line14.gt.tif,greek1516_Page_001_Line14.gt.txt,Mat,1,4
14,,1,15,greek1516_Page_001_Line15.gt.tif,greek1516_Page_001_Line15.gt.txt,Mat,1,5
15,,1,16,greek1516_Page_001_Line16.gt.tif,greek1516_Page_001_Line16.gt.txt,Mat,1,5
16,,1,17,greek1516_Page_001_Line17.gt.tif,greek1516_Page_001_Line17.gt.txt,Mat,1,5
17,,1,18,greek1516_Page_001_Line18.gt.tif,greek1516_Page_001_Line18.gt.txt,Mat,1,6
18,,1,19,greek1516_Page_001_Line19.gt.tif,greek1516_Page_001_Line19.gt.txt,Mat,1,6
19,,1,20,greek1516_Page_001_Line20.gt.tif,greek1516_Page_001_Line20.gt.txt,Mat,1,6
20,,1,21,greek1516_Page_001_Line21.gt.tif,greek1516_Page_001_Line21.gt.txt,Mat,1,7
21,,1,22,greek1516_Page_001_Line22.gt.tif,greek1516_Page_001_Line22.gt.txt,Mat,1,7
22,,1,23,greek1516_Page_001_Line23.gt.tif,greek1516_Page_001_Line23.gt.txt,Mat,1,8
23,,1,24,greek1516_Page_001_Line24.gt.tif,greek1516_Page_001_Line24.gt.txt,Mat,1,8
24,,2,1,greek1516_Page_002_Line1.gt.tif,greek1516_Page_002_Line1.gt.txt,Mat,1,8
25,,2,2,greek1516_Page_002_Line2.gt.tif,greek1516_Page_002_Line2.gt.txt,Mat,1,9
26,,2,3,greek1516_Page_002_Line3.gt.tif,greek1516_Page_002_Line3.gt.txt,Mat,1,9
27,,2,4,greek1516_Page_002_Line4.gt.tif,greek1516_Page_002_Line4.gt.txt,Mat,1,10
28,,2,5,greek1516_Page_002_Line5.gt.tif,greek1516_Page_002_Line5.gt.txt,Mat,1,10
29,,2,6,greek1516_Page_002_Line6.gt.tif,greek1516_Page_002_Line6.gt.txt,Mat,1,11
30,,2,7,greek1516_Page_002_Line7.gt.tif,greek1516_Page_002_Line7.gt.txt,Mat,1,11
31,,2,8,greek1516_Page_002_Line8.gt.tif,greek1516_Page_002_Line8.gt.txt,Mat,1,12
32,,2,9,greek1516_Page_002_Line9.gt.tif,greek1516_Page_002_Line9.gt.txt,Mat,1,12
33,,2,10,greek1516_Page_002_Line10.gt.tif,greek1516_Page_002_Line10.gt.txt,Mat,1,12
34,,2,11,greek1516_Page_002_Line11.gt.tif,greek1516_Page_002_Line11.gt.txt,Mat,1,13
35,,2,12,greek1516_Page_002_Line12.gt.tif,greek1516_Page_002_Line12.gt.txt,Mat,1,13
36,,2,13,greek1516_Page_002_Line13.gt.tif,greek1516_Page_002_Line13.gt.txt,Mat,1,14
37,,2,14,greek1516_Page_002_Line14.gt.tif,greek1516_Page_002_Line14.gt.txt,Mat,1,14
38,,2,15,greek1516_Page_002_Line15.gt.tif,greek1516_Page_002_Line15.gt.txt,Mat,1,15
39,,2,16,greek1516_Page_002_Line16.gt.tif,greek1516_Page_002_Line16.gt.txt,Mat,1,15
40,,2,17,greek1516_Page_002_Line17.gt.tif,greek1516_Page_002_Line17.gt.txt,Mat,1,15
41,,2,18,greek1516_Page_002_Line18.gt.tif,greek1516_Page_002_Line18.gt.txt,Mat,1,16
42,,2,19,greek1516_Page_002_Line19.gt.tif,greek1516_Page_002_Line19.gt.txt,Mat,1,16
43,,2,20,greek1516_Page_002_Line20.gt.tif,greek1516_Page_002_Line20.gt.txt,Mat,1,17
44,,2,21,greek1516_Page_002_Line21.gt.tif,greek1516_Page_002_Line21.gt.txt,Mat,1,17
45,,2,22,greek1516_Page_002_Line22.gt.tif,greek1516_Page_002_Line22.gt.txt,Mat,1,17
46,,2,23,greek1516_Page_002_Line23.gt.tif,greek1516_Page_002_Line23.gt.txt,Mat,1,17
47,,2,24,greek1516_Page_002_Line24.gt.tif,greek1516_Page_002_Line24.gt.txt,Mat,1,17
48,,2,25,greek1516_Page_002_Line25.gt.tif,greek1516_Page_002_Line25.gt.txt,Mat,1,18
49,,2,26,greek1516_Page_002_Line26.gt.tif,greek1516_Page_002_Line26.gt.txt,Mat,1,18
50,,2,27,greek1516_Page_002_Line27.gt.tif,greek1516_Page_002_Line27.gt.txt,Mat,1,18
51,,2,28,greek1516_Page_002_Line28.gt.tif,greek1516_Page_002_Line28.gt.txt,Mat,1,18
52,,2,29,greek1516_Page_002_Line29.gt.tif,greek1516_Page_002_Line29.gt.txt,Mat,1,19
53,,2,30,greek1516_Page_002_Line30.gt.tif,greek1516_Page_002_Line30.gt.txt,Mat,1,19
54,,2,31,greek1516_Page_002_Line31.gt.tif,greek1516_Page_002_Line31.gt.txt,Mat,1,19
55,,2,32,greek1516_Page_002_Line32.gt.tif,greek1516_Page_002_Line32.gt.txt,Mat,1,20
56,,2,33,greek1516_Page_002_Line33.gt.tif,greek1516_Page_002_Line33.gt.txt,Mat,1,20
57,,2,34,greek1516_Page_002_Line34.gt.tif,greek1516_Page_002_Line34.gt.txt,Mat,1,20
58,,2,35,greek1516_Page_002_Line35.gt.tif,greek1516_Page_002_Line35.gt.txt,Mat,1,20
59,,2,36,greek1516_Page_002_Line36.gt.tif,greek1516_Page_002_Line36.gt.txt,Mat,1,20
60,,2,37,greek1516_Page_002_Line37.gt.tif,greek1516_Page_002_Line37.gt.txt,Mat,1,21
61,,2,38,greek1516_Page_002_Line38.gt.tif,greek1516_Page_002_Line38.gt.txt,Mat,1,21
62,,2,39,greek1516_Page_002_Line39.gt.tif,greek1516_Page_002_Line39.gt.txt,Mat,1,22
63,,2,40,greek1516_Page_002_Line40.gt.tif,greek1516_Page_003_Line1.gt.txt,Mat,1,22
64,,3,1,greek1516_Page_003_Line1.gt.tif,greek1516_Page_003_Line1.gt.txt,Mat,1,22
65,,3,2,greek1516_Page_003_Line2.gt.tif,greek1516_Page_003_Line2.gt.txt,Mat,1,23
66,,3,3,greek1516_Page_003_Line3.gt.tif,greek1516_Page_003_Line3.gt.txt,Mat,1,23
