μ	30	6831	99	6900
λ	105	6793	165	6905
λ	174	6803	420	6943
ἄ	276	6789	316	6947
γ	315	6789	369	6947
ε	368	6789	435	6947
σ	448	6835	607	6943
	634	6840	722	6896
ᾶ	727	6835	792	6932
σ	796	6840	871	6900
ι	842	6817	895	6932
	880	6817	931	6896
τ	969	6840	1029	6896
ο	1033	6840	1070	6896
θ	1075	6835	1130	6951
τ	1136	6844	1192	6900
ο	1196	6844	1237	6900
ι	1252	6844	1265	6900
ς	1284	6835	1312	6900
	1380	6812	1448	6965
τ	1456	6849	1512	6900
	1521	6844	1623	6943
τ	1660	6849	1721	6905
α	1726	6849	1782	6905
ύ	1786	6844	1837	6960
τ	1837	6849	1893	6905
	1902	6825	2009	6947
ἡ	35	6658	77	6761
μ	90	6645	165	6720
έ	170	6664	216	6765
ρ	206	6626	244	6714
α	258	6658	309	6720
	313	6640	369	6724
ἄ	401	6668	462	6770
γ	467	6640	536	6724
	541	6664	597	6728
σ	624	6668	685	6737
ή	685	6668	731	6761
μ	731	6649	811	6724
ε	819	6668	852	6724
ρ	852	6630	894	6724
ο	903	6668	945	6724
	954	6645	1006	6724
ἀ	1038	6673	1094	6765
φ	1098	6645	1173	6761
	1205	6677	1256	6784
ω	1256	6673	1293	6728
τ	1326	6673	1381	6728
α	1391	6673	1447	6728
ῦ	1456	6673	1507	6770
τ	1507	6673	1563	6728
α	1576	6677	1632	6728
ἐ	1656	6673	1698	6765
	1707	6636	1851	6775
ο	1812	6636	1877	6775
ν	1865	6677	1944	6733
.	1949	6677	2009	6724
τ	30	6491	90	6542
ο	99	6491	142	6547
.	151	6487	174	6514
Α	247	6473	253	6566
	258	6491	350	6580
ὰ	360	6491	420	6598
κ	448	6445	605	6561
χ	555	6570	579	6598
γ	639	6469	708	6552
	718	6463	824	6557
	834	6497	926	6598
κ	902	6463	954	6598
ε	941	6497	1025	6552
ς	1033	6482	1075	6557
ἄ	1108	6491	1173	6603
ν	1182	6501	1210	6557
ὲ	1224	6482	1303	6608
	1331	6463	1447	6617
ἤ	1475	6501	1516	6603
μ	1521	6487	1595	6561
ῶ	1600	6505	1660	6598
	1660	6473	1711	6561
	1739	6463	1851	6617
έ	1861	6501	1906	6608
	1902	6505	1953	6566
η	1958	6501	2004	6566
σ	26	6319	90	6380
α	86	6319	146	6375
	146	6296	202	6375
ἡ	234	6319	281	6422
μ	290	6306	369	6375
ᾶ	374	6324	434	6417
ς	439	6306	481	6375
,	489	6310	513	6347
γ	563	6296	597	6380
ε	601	6324	639	6380
ν	648	6324	736	6426
ό	713	6292	736	6430
ι	736	6287	789	6414
	740	6291	931	6385
	873	6287	938	6414
	935	6324	1022	6394
ρ	1052	6287	1145	6431
ϑ	1149	6319	1214	6413
ρ	1220	6291	1256	6380
ϊ	1265	6329	1298	6413
	1308	6329	1390	6390
ἐ	1428	6329	1470	6422
π	1479	6291	1559	6385
ὶ	1559	6334	1591	6441
τ	1642	6329	1730	6435
	1702	6329	1730	6435
μ	1763	6315	1842	6390
ν	1846	6334	1878	6390
η	1888	6334	2004	6390
μ	21	6129	105	6203
